Product Name,Price,Processor,OS,Graphics,Memory (RAM),Storage,Display
Dell 16 Laptop,$549.99 ,Up to Intel® Core™ 7-150U,Windows 11 Home or Windows 11 Pro,Up to Intel® Graphics,Up to 16 GB,Up to 1 TB,"16"""
Dell 14 Plus Laptop,$749.99 ,Up to Intel® Core™ Ultra 9 288V,Windows 11 Home or Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Dell 16 Plus Laptop,$599.99 ,Up to AMD Ryzen™ AI 7 350,Windows 11 Home,Up to AMD Radeon™ Graphics,Up to 32 GB,Up to 1 TB,"16"""
Dell Pro Max 16 Plus Laptop,"$2,779.00 ",Up to Intel® Core™ Ultra 9 285HX,"Windows 11 Pro, No Operating System, or Ubuntu® Linux®",Up to NVIDIA® RTX™ PRO 5000 Blackwell Generation or Intel® Graphics,Up to 128 GB,Up to 4 TB,"16"""
Dell Pro Max 16 Premium Laptop,"$2,629.00 ",Up to Intel® Core™ Ultra 9 285H,"Windows 11 Pro, No Operating System, or Ubuntu® Linux®",Up to Intel® Arc™ Pro Graphics,Up to 16 GB,Up to 4 TB,"16"""
Alienware 18 Area-51 Gaming Laptop,"$2,049.99 ",Up to Intel® Core™ Ultra 9 275HX,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 5090,Up to 64 GB,Up to 12 TB,"18"""
Alienware 16 Aurora Gaming Laptop,$899.99 ,Up to Intel® Core™ 9-270H Series 2,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 5070,Up to 32 GB,Up to 1 TB,"16"""
Dell Pro 16 Plus Laptop,"$1,179.00 ",Up to Intel® Core™ Ultra 7 265U,Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"16"""
Dell Pro 16 Laptop,$749.00 ,Up to Intel® Core™ Ultra 7 265U,Windows 11 Pro,Up to Intel® Graphics,Up to 64 GB,Up to 1 TB,"16"""
Dell Pro Max 16 Laptop,"$1,539.00 ",Up to Intel® Core™ Ultra 9 285H,Windows 11 Pro or Ubuntu® Linux®,Up to NVIDIA® RTX™ or Intel® Arc™ Pro Graphics,Up to 64 GB,Up to 2 TB,"16"""
Dell 15 Laptop,$399.99 ,Up to Intel® Core™ i7-1355U,Windows 11 Home or Windows 11 Pro,Up to Intel® UHD Graphics,Up to 16 GB,Up to 1 TB,"15.6"""
Alienware 16 Area-51 Gaming Laptop,"$1,849.99 ",Up to Intel® Core™ Ultra 9 275HX,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 5090,Up to 64 GB,Up to 12 TB,"16"""
Dell Pro 14 Plus Laptop or 2-in-1,"$1,199.00 ",Up to Intel® Core™ Ultra 7 268V,Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Dell 16 Plus 2-in-1 Laptop,$849.99 ,Up to Intel® Core™ Ultra 9 288V,Windows 11 Home or Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"16"""
Alienware 16X Aurora Gaming Laptop,"$1,449.99 ",Up to Intel® Core™ Ultra 9 275HX,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 5070,Up to 64 GB,Up to 4 TB,"16"""
Dell 14 Plus Laptop,$599.99 ,Up to AMD Ryzen™ AI 7 350,Windows 11 Home or Windows 11 Pro,Up to AMD Radeon™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Dell 15 Laptop,$299.99 ,Up to AMD Ryzen™ 7 7730U,Windows 11 Home,Up to AMD Radeon™ 610M,Up to 16 GB,Up to 1 TB,"15.6"""
Dell 16 Premium Laptop,"$1,549.99 ",Up to Intel® Core™ Ultra 9 285H,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 5070 or Intel® Arc™ Graphics 140T,Up to 64 GB,Up to 4 TB,"16.3"""
Dell 14 Premium Laptop,"$1,499.99 ",Up to Intel® Core™ Ultra 7 255H,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 4050 or Intel® Arc™ Graphics,Up to 32 GB,Up to 2 TB,"14.5"""
Dell Pro 14 Premium Laptop,"$1,639.12 ",Up to Intel® Core™ Ultra 7 268V,Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Dell Pro 16 Laptop,$639.00 ,Up to AMD Ryzen™ AI 7 PRO 350,Windows 11 Pro,Up to AMD Radeon™ 860M,Up to 64 GB,Up to 1 TB,"16"""
Dell 14 Plus 2-in-1 Laptop,$799.99 ,Up to Intel® Core™ Ultra 9 288V,Windows 11 Home or Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Dell Pro 14 Laptop,$499.00 ,Up to AMD Ryzen™ AI 7 PRO 350,Windows 11 Home or Windows 11 Pro,Up to AMD Radeon™ 860M,Up to 64 GB,Up to 1 TB,"14"""
Dell Pro Max 14 Laptop,"$1,549.00 ",Up to Intel® Core™ Ultra 7 265H,Windows 11 Pro or Ubuntu® Linux®,,Up to 64 GB,Up to 2 TB,"14"""
Dell Pro 14 Laptop,$839.00 ,Up to Intel® Core™ Ultra 7 265U,Windows 11 Pro,Up to Intel® Graphics,Up to 64 GB,Up to 1 TB,"14"""
Dell Pro 16 Plus Laptop,$909.00 ,Up to AMD Ryzen™ AI 9 HX PRO 370,Windows 11 Pro,Up to AMD Radeon™ 860M,Up to 64 GB,Up to 1 TB,"16"""
Dell 16 Laptop,$699.99 ,Up to Intel® Core™ 7-150U,Windows 11 Home or Windows 11 Pro,Up to Intel® Graphics,Up to 32 GB,Up to 1 TB,"16"""
Dell Pro 14 Plus Laptop or 2-in-1,$879.00 ,Up to AMD Ryzen™ AI 9 HX PRO 370,Windows 11 Pro,Up to AMD Radeon™ 860M,Up to 64 GB,Up to 1 TB,"14"""
Latitude 5450 Laptop,$809.00 ,Up to Intel® Core™ Ultra 7 165U,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Graphics,Up to 64 GB,Up to 1 TB,"14"""
XPS 14 Laptop,"$1,259.99 ",Up to Intel® Core™ Ultra 7 155H,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 4050 or Intel® Arc™ Graphics,Up to 16 GB,Up to 4 TB,"14.5"""
Latitude 3550 Laptop,$474.40 ,Up to Intel® Core™ i3-1315U,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Iris® Xe or UHD Graphics,Up to 32 GB,Up to 1 TB,"15.6"""
Precision 5690 Workstation,"$2,519.00 ",Up to Intel® Core™ Ultra 9 185H,Windows 11 Pro or Ubuntu® Linux®,Up to NVIDIA® RTX™ 2000 Ada Generation,Up to 64 GB,Up to 4 TB,"16"""
Latitude 3450 Laptop,$420.10 ,Up to Intel® Core™ i5-1335U,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Iris® Xe or UHD Graphics,Up to 32 GB,Up to 1 TB,"14"""
XPS 13 Laptop,$749.99 ,Up to Qualcomm® Snapdragon® X Elite X1E-80-100,Windows 11 Home or Windows 11 Pro,Up to Qualcomm® Adreno™ Graphics,Up to 64 GB,Up to 2 TB,"13.4"""
Inspiron 14 Laptop,$599.99 ,Up to Intel® Core™ 7 150U,Windows 11 Home,Up to Intel® Graphics,Up to 16 GB,Up to 1 TB,"14"""
XPS 13 Laptop,"$1,049.99 ",Up to Intel® Core™ Ultra 9 288V Series 2,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 2 TB,"13.4"""
Latitude 7350 Laptop or 2-in-1,"$1,319.43 ",Up to Intel® Core™ Ultra 7 165U,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Graphics,Up to 64 GB,Up to 2 TB,"13.3"""
Latitude 7350 Detachable,"$1,509.00 ",Up to Intel® Core™ Ultra 7 164U,Windows 11 Home or Windows 11 Pro,Up to Intel® Graphics,Up to 32 GB,Up to 2 TB,"13"""
Precision 7780 Workstation,"$3,449.00 ",Up to Intel® Core™ i9-13950HX,Windows 11 Pro or Ubuntu® Linux®,Up to NVIDIA® RTX™ 4000 Ada Generation,Up to 128 GB,Up to 4 TB,"17.3"""
Latitude 5455 Laptop,$939.00 ,Up to Qualcomm® Snapdragon® X Plus X1P-64-100,Windows 11 Home or Windows 11 Pro,Up to Qualcomm® Adreno™ Graphics,Up to 16 GB,Up to 512 GB,"14"""
XPS 16 Laptop,"$2,299.99 ",Up to Intel® Core™ Ultra 7 155H,Windows 11 Home or Windows 11 Pro,Up to NVIDIA® GeForce RTX™ 4060,Up to 32 GB,Up to 4 TB,"16.3"""
Latitude 7450 Laptop or 2-in-1,"$1,392.32 ",Up to Intel® Core™ Ultra 7 165H,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to Intel® Graphics,Up to 64 GB,Up to 2 TB,"14"""
Inspiron 14 2-in-1 Laptop,$679.99 ,Up to Intel® Core™ 7 150U,Windows 11 Home or Windows 11 Pro,Up to Intel® UHD Graphics,Up to 16 GB,Up to 512 GB,"14"""
Latitude 9450 2-in-1,"$1,549.00 ",Up to Intel® Core™ Ultra 7 165U,Windows 11 Home or Windows 11 Pro,Up to Intel® Graphics,Up to 64 GB,Up to 1 TB,"14"""
Latitude 7455 Laptop,"$1,274.32 ",Up to Qualcomm® Snapdragon® X Elite X1E-80-100,Windows 11 Home or Windows 11 Pro,Up to Qualcomm® Adreno™ Graphics,Up to 32 GB,Up to 1 TB,"14"""
Latitude 3140 Laptop or 2-in-1,$249.00 ,Up to Intel® N200,Windows 11 Pro or Windows 11 Home,Up to Intel® UHD Graphics,Up to 8 GB,Up to 256 GB,"11.6"""
Inspiron 14 Laptop,$549.99 ,Up to Qualcomm® Snapdragon® X Plus X1P-64-100,Windows 11 Home or Windows 11 Pro,Up to Qualcomm® Adreno™ Graphics,Up to 16 GB,Up to 1 TB,"14"""
Dell 16 Plus Laptop,"$1,149.99 ",Up to Intel® Core™ Ultra 9 288V,Windows 11 Home or Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 2 TB,"16"""
Inspiron 14 2-in-1 Laptop,$499.99 ,Up to AMD Ryzen™ 7 8840HS,Windows 11 Home or Windows 11 Pro,Up to AMD Radeon™ Graphics,Up to 16 GB,Up to 1 TB,"14"""
Dell Pro 13 Premium Laptop,"$1,629.31 ",Up to Intel® Core™ Ultra 7 268V,Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"13.3"""
Dell Pro 13 Plus Laptop or 2-in-1,"$1,389.00 ",Up to Intel® Core™ Ultra 7 265U,Windows 11 Pro,Up to Intel® Arc™ Graphics,Up to 32 GB,Up to 1 TB,"13"""
Dell 14 Plus 2-in-1 Laptop,$849.99 ,Up to AMD Ryzen™ AI 7 350,Windows 11 Home or Windows 11 Pro,Up to AMD Radeon™ Graphics,Up to 16 GB,Up to 1 TB,"14"""
Dell Pro Max 14 Premium Laptop,"$2,279.00 ",Up to Intel® Core™ Ultra 9 285H,"Windows 11 Pro, No Operating System, or Ubuntu® Linux®",Up to Intel® Arc™ Pro Graphics,Up to 16 GB,Up to 2 TB,"14"""
Dell Pro Max 18 Plus Laptop,"$3,649.00 ",Up to Intel® Core™ Ultra 9 285HX,"Windows 11 Pro, No Operating System, or Ubuntu® Linux®",Up to NVIDIA® RTX™ PRO 5000 Blackwell Generation or Intel® Graphics,Up to 128 GB,Up to 4 TB,"18"""
Dell Pro 13 Plus Laptop or 2-in-1,"$1,179.00 ",Up to AMD Ryzen™ AI 9 HX PRO 370,Windows 11 Pro,Up to AMD Radeon™ 860M,Up to 64 GB,Up to 1 TB,"13.3"""
Precision 7680 Workstation,"$3,719.00 ",Up to Intel® Core™ i9-13950HX,Windows 11 Pro or Ubuntu® Linux®,Up to NVIDIA® RTX™ 4000 Ada Generation or Intel® UHD Graphics,Up to 128 GB,Up to 4 TB,"16"""
Dell Pro Max 14 Laptop,"$1,249.00 ",Up to AMD Ryzen™ AI 9 HX PRO 370,Windows 11 Pro or Ubuntu® Linux®,Up to AMD Radeon™ Graphics,Up to 16 GB,Up to 2 TB,"14"""
Dell Pro Rugged 14 Laptop,"$2,149.00 ",Up to Intel® Core™ Ultra 7 165U,Windows 11 Home or Windows 11 Pro,Up to Intel® Graphics,Up to 64 GB,Up to 2 TB,"14"""
Dell Pro Rugged 13 Laptop,"$4,249.00 ",Up to Intel® Core™ Ultra 7 165H,Windows 11 Home or Windows 11 Pro,Up to Intel® Iris® Xe Graphics,Up to 64 GB,Up to 2 TB,"13.3"""
Inspiron 16 Plus Laptop,"$1,099.99 ",Up to Intel® Core™ Ultra 9 185H,Windows 11 Home,Up to Intel® Arc™ Graphics,Up to 16 GB,Up to 512 GB,"16"""
Dell Pro Max 16 Laptop,"$1,349.00 ",Up to AMD Ryzen™ AI 9 HX PRO 370,Windows 11 Pro or Ubuntu® Linux®,Up to NVIDIA® RTX™ PRO 1000 Blackwell Generation or AMD Radeon™ Graphics,Up to 16 GB,Up to 2 TB,"16"""
Precision 5490 Workstation,"$2,439.00 ",Up to Intel® Core™ Ultra 9 185H,Windows 11 Pro,Up to NVIDIA® RTX™ 2000 Ada Generation,Up to 32 GB,Up to 1 TB,"14"""
Latitude 7230 Rugged Extreme Tablet,"$2,679.00 ",Up to Intel® Core™ i7-1260U,Windows 11 Pro,Up to Intel® Iris® Xe Graphics,Up to 32 GB,Up to 2 TB,"12"""
Chromebook 3120 Laptop or 2-in-1,$331.60 ,Up to Intel® N100,,,Up to 8 GB,Up to 64 GB,"11.6"""
Inspiron 14 Plus Laptop,"$1,099.99 ",Up to Qualcomm® Snapdragon® X Elite X1E-80-100,Windows 11 Home or Windows 11 Pro,Up to Qualcomm® Adreno™ Graphics,Up to 16 GB,Up to 1 TB,"14"""
Precision 3590 Workstation,"$1,729.00 ",Up to Intel® Core™ Ultra 7 165H,Windows 11 Pro or Ubuntu® Linux®,Up to Intel® Graphics or Intel® Arc™ Pro Graphics,Up to 64 GB,Up to 2 TB,"15.6"""
Precision 3490 Workstation,"$1,479.00 ",Up to Intel® Core™ Ultra 7 165H,"Windows 11 Home, Windows 11 Pro, or Ubuntu® Linux®",Up to NVIDIA® RTX™ 500 Ada Generation or Intel® Graphics or Intel® Arc™ Pro Graphics,Up to 64 GB,Up to 2 TB,"14"""
Latitude 7030 Rugged Extreme Tablet,"$2,619.00 ",Up to Intel® Core™ i7-1260U,Windows 11 Home or Windows 11 Pro,Up to Intel® Iris® Xe Graphics,Up to 32 GB,Up to 2 TB,"10.1"""
